MatchID,Date,TeamWinner,Team1ID,Team2ID,RegionID,Top1Champion,Jg1Champion,Mid1Champion,Adc1Champion,Supp1Champion,Top2Champion,Jg2Champion,Mid2Champion,Adc2Champion,Supp2Champion,Top1ID,Top1Kills,Top1Deaths,Top1Assists,Top1CS,Top1CSM,Top1GPM,Top1VisionScore,Top1VSPM,Top1DMGTotal,Top1DPM,Top1K+A/Min,Top1KP,Top1GD@15,Top1CSD@15,Top1XPD@15,Top1LVLD@15,Top1ObjStolen,Top1DMGTurrets,Top1TimeSpentDead,Top1ItemsPurchased,Top1BountyCollected,Top1BountyLost,Jg1ID,Jg1Kills,Jg1Deaths,Jg1Assists,Jg1CS,Jg1CSM,Jg1GPM,Jg1VisionScore,Jg1VSPM,Jg1DMGTotal,Jg1DPM,Jg1K+A/Min,Jg1KP,Jg1GD@15,Jg1CSD@15,Jg1XPD@15,Jg1LVLD@15,Jg1ObjStolen,Jg1DMGTurrets,Jg1TimeSpentDead,Jg1ItemsPurchased,Jg1BountyCollected,Jg1BountyLost,Mid1ID,Mid1Kills,Mid1Deaths,Mid1Assists,Mid1CS,Mid1CSM,Mid1GPM,Mid1VisionScore,Mid1VSPM,Mid1DMGTotal,Mid1DPM,Mid1K+A/Min,Mid1KP,Mid1GD@15,Mid1CSD@15,Mid1XPD@15,Mid1LVLD@15,Mid1ObjStolen,Mid1DMGTurrets,Mid1TimeSpentDead,Mid1ItemsPurchased,Mid1BountyCollected,Mid1BountyLost,Adc1ID,Adc1Kills,Adc1Deaths,Adc1Assists,Adc1CS,Adc1CSM,Adc1GPM,Adc1VisionScore,Adc1VSPM,Adc1DMGTotal,Adc1DPM,Adc1K+A/Min,Adc1KP,Adc1GD@15,Adc1CSD@15,Adc1XPD@15,Adc1LVLD@15,Adc1ObjStolen,Adc1DMGTurrets,Adc1TimeSpentDead,Adc1ItemsPurchased,Adc1BountyCollected,Adc1BountyLost,Supp1ID,Supp1Kills,Supp1Deaths,Supp1Assists,Supp1CS,Supp1CSM,Supp1GPM,Supp1VisionScore,Supp1VSPM,Supp1DMGTotal,Supp1DPM,Supp1K+A/Min,Supp1KP,Supp1GD@15,Supp1CSD@15,Supp1XPD@15,Supp1LVLD@15,Supp1ObjStolen,Supp1DMGTurrets,Supp1TimeSpentDead,Supp1ItemsPurchased,Supp1BountyCollected,Supp1BountyLost,Top2ID,Top2Kills,Top2Deaths,Top2Assists,Top2CS,Top2CSM,Top2GPM,Top2VisionScore,Top2VSPM,Top2DMGTotal,Top2DPM,Top2K+A/Min,Top2KP,Top2GD@15,Top2CSD@15,Top2XPD@15,Top2LVLD@15,Top2ObjStolen,Top2DMGTurrets,Top2TimeSpentDead,Top2ItemsPurchased,Top2BountyCollected,Top2BountyLost,Jg2ID,Jg2Kills,Jg2Deaths,Jg2Assists,Jg2CS,Jg2CSM,Jg2GPM,Jg2VisionScore,Jg2VSPM,Jg2DMGTotal,Jg2DPM,Jg2K+A/Min,Jg2KP,Jg2GD@15,Jg2CSD@15,Jg2XPD@15,Jg2LVLD@15,Jg2ObjStolen,Jg2DMGTurrets,Jg2TimeSpentDead,Jg2ItemsPurchased,Jg2BountyCollected,Jg2BountyLost,Mid2ID,Mid2Kills,Mid2Deaths,Mid2Assists,Mid2CS,Mid2CSM,Mid2GPM,Mid2VisionScore,Mid2VSPM,Mid2DMGTotal,Mid2DPM,Mid2K+A/Min,Mid2KP,Mid2GD@15,Mid2CSD@15,Mid2XPD@15,Mid2LVLD@15,Mid2ObjStolen,Mid2DMGTurrets,Mid2TimeSpentDead,Mid2ItemsPurchased,Mid2BountyCollected,Mid2BountyLost,Adc2ID,Adc2Kills,Adc2Deaths,Adc2Assists,Adc2CS,Adc2CSM,Adc2GPM,Adc2VisionScore,Adc2VSPM,Adc2DMGTotal,Adc2DPM,Adc2K+A/Min,Adc2KP,Adc2GD@15,Adc2CSD@15,Adc2XPD@15,Adc2LVLD@15,Adc2ObjStolen,Adc2DMGTurrets,Adc2TimeSpentDead,Adc2ItemsPurchased,Adc2BountyCollected,Adc2BountyLost,Supp2ID,Supp2Kills,Supp2Deaths,Supp2Assists,Supp2CS,Supp2CSM,Supp2GPM,Supp2VisionScore,Supp2VSPM,Supp2DMGTotal,Supp2DPM,Supp2K+A/Min,Supp2KP,Supp2GD@15,Supp2CSD@15,Supp2XPD@15,Supp2LVLD@15,Supp2ObjStolen,Supp2DMGTurrets,Supp2TimeSpentDead,Supp2ItemsPurchased,Supp2BountyCollected,Supp2BountyLost
11,29/2/2024,1,215,125,14,151,91,94,31,10,106,104,12,142,44,19,4,1,6,236,8.2,419,34,1.18,14807,512,0.35,48%,1496,34,714,0,0,3691,38,23,0,400,756,8,2,12,185,6.4,457,51,1.76,19852,686,0.69,95%,-126,21,824,1,0,1092,57,27,450,150,1491,4,1,16,241,8.3,462,42,1.45,16803,581,0.69,95%,808,15,1082,1,0,9873,12,27,0,0,9,5,3,6,243,8.4,442,28,0.97,19918,688,0.38,52%,-510,-1,-224,0,0,5631,22,27,200,700,977,0,3,14,46,1.6,279,122,4.22,11408,394,0.48,67%,-1647,-13,-622,-1,0,2583,39,25,0,0,882,1,4,1,236,8.2,362,26,0.9,10905,377,0.07,20.00%,-1496,-34,-714,0,0,1932,155,21,700,0,862,2,4,6,140,4.8,308,55,1.9,5804,201,0.28,80.00%,126,-21,-824,-1,0,2374,102,25,0,150,620,1,5,2,231,8,331,25,0.86,8711,301,0.1,30.00%,-808,-15,-1082,-1,0,1097,140,20,0,50,272,1,3,4,214,7.4,346,32,1.11,10519,364,0.17,50.00%,510,1,224,0,0,1780,66,24,0,0,1066,5,5,2,46,1.6,306,63,2.18,19248,665,0.24,70.00%,1647,13,622,1,0,1267,129,19,550,450
12,29/2/2024,1,125,215,14,140,147,44,142,104,38,153,130,113,87,882,6,1,12,228,8,439,20,0.7,18784,656,0.63,72%,694,12,468,0,0,3270,48,19,0,550,862,8,4,7,171,6,437,33,1.15,17558,613,0.52,60%,321,16,444,0,0,9416,112,31,0,600,620,9,2,8,217,7.6,466,24,0.84,23953,837,0.59,68%,836,12,352,1,1,6511,91,24,0,650,433,2,3,13,237,8.3,434,36,1.26,16003,559,0.52,60%,1010,89,1865,2,0,8701,112,21,0,300,1066,0,2,23,35,1.2,310,106,3.7,5947,208,0.8,92%,-1118,-88,-2146,-2,0,1158,57,33,0,0,19,2,6,6,219,7.6,397,24,0.84,14401,503,0.28,66.70%,-694,-12,-468,0,0,5932,246,25,300,0,756,4,6,5,184,6.4,391,37,1.29,15626,546,0.31,75.00%,-321,-16,-444,0,0,0,199,27,1100,0,1491,3,5,4,240,8.4,391,34,1.19,14482,506,0.24,58.30%,-836,-12,-352,-1,0,1571,197,28,550,0,9,2,5,10,55,1.9,293,81,2.83,11297,395,0.42,100.00%,-1010,-89,-1865,-2,0,401,127,28,150,0,977,1,3,6,181,6.3,298,16,0.56,5949,208,0.24,58.30%,1118,88,2146,2,0,560,109,26,0,0
13,28/2/2024,1,215,72,14,151,156,56,123,87,38,112,51,142,105,19,0,3,8,316,7,346,60,1.33,17527,389,0.18,47%,-323,-15,-122,0,0,4796,155,35,0,0,756,1,5,9,214,4.7,311,68,1.51,17070,378,0.22,59%,-683,-11,-485,0,0,2829,141,36,0,0,1491,3,2,12,320,7.1,400,70,1.55,22549,500,0.33,88%,-311,6,954,1,0,15358,78,39,150,50,9,10,2,1,464,10.3,545,53,1.18,76842,1704,0.24,65%,-1610,-19,409,0,0,7492,55,31,2000,50,977,3,5,11,30,0.7,270,171,3.79,9925,220,0.31,82%,274,4,-1235,-2,0,142,97,45,200,150,1384,1,6,7,349,7.7,365,48,1.06,30990,687,0.18,47.10%,323,15,122,0,0,3256,245,34,0,350,582,3,3,11,237,5.3,319,87,1.93,14606,324,0.31,82.40%,683,11,485,0,1,2131,115,40,50,150,1401,5,3,10,402,8.9,440,60,1.33,44426,985,0.33,88.20%,311,-6,-954,-1,0,7602,94,42,200,350,1113,8,3,5,436,9.7,455,66,1.46,37538,832,0.29,76.50%,1610,19,-409,0,0,4317,93,33,0,1500,23,0,2,15,43,1,246,178,3.95,9826,218,0.33,88.20%,-274,-4,1235,2,0,847,71,51,0,0
14,28/2/2024,1,72,215,14,67,69,12,113,87,109,97,44,142,17,1384,4,1,12,254,7.1,388,31,0.87,14878,417,0.45,62%,712,-12,621,0,0,4468,60,29,0,350,582,6,2,12,230,6.4,408,64,1.79,10056,282,0.5,69%,597,28,1182,1,1,3639,94,33,100,450,1401,11,2,9,352,9.9,559,56,1.57,35804,1002,0.56,77%,1260,4,98,0,0,14090,105,38,1050,1150,1113,5,4,15,266,7.4,424,32,0.9,33736,945,0.56,77%,-2325,-32,-646,-1,0,8828,94,31,50,450,23,0,5,19,45,1.3,255,137,3.84,5975,167,0.53,73%,-471,3,-427,-1,0,729,106,40,0,0,19,2,6,2,301,8.4,383,26,0.73,15335,429,0.11,28.60%,-712,12,-621,0,0,0,217,23,650,100,756,1,5,11,158,4.4,296,53,1.48,10298,288,0.34,85.70%,-597,-28,-1182,-1,0,3950,163,29,150,0,1491,5,4,4,315,8.8,441,47,1.32,33164,929,0.25,64.30%,-1260,-4,-98,0,0,8407,160,31,1100,450,9,6,5,5,335,9.4,456,51,1.43,23344,654,0.31,78.60%,2325,32,646,1,0,3866,160,28,500,650,977,0,6,12,33,0.9,239,119,3.33,5976,167,0.34,85.70%,471,-3,427,1,0,189,163,37,0,0
15,28/2/2024,1,215,72,14,151,91,2,123,5,1,148,12,113,87,19,3,1,12,230,6.6,383,40,1.14,9878,282,0.43,79%,600,12,610,0,0,9448,10,29,50,0,756,1,0,12,210,6,337,49,1.4,12096,346,0.37,68%,-829,-10,140,0,0,3139,0,31,0,0,1491,3,1,12,281,8,398,61,1.74,15089,431,0.43,79%,-190,-8,-368,0,0,9363,49,28,0,400,9,10,5,6,323,9.2,493,44,1.26,31836,910,0.46,84%,-1258,0,141,0,0,4815,126,25,200,650,977,2,4,12,22,0.6,263,120,3.43,4052,116,0.4,74%,-584,-11,-391,0,0,76,102,31,400,150,1384,3,6,0,247,7.1,341,31,0.89,11523,329,0.09,27.30%,-600,-12,-610,0,0,1511,190,31,150,100,582,3,3,3,268,7.7,372,73,2.09,8621,246,0.17,54.50%,829,10,-140,0,1,0,91,29,400,150,1401,1,3,2,307,8.8,390,57,1.63,26425,755,0.09,27.30%,190,8,368,0,0,5684,102,35,500,150,1113,4,4,4,287,8.2,403,33,0.94,26691,763,0.23,72.70%,1258,0,-141,0,0,3012,137,26,150,250,23,0,3,6,40,1.1,228,122,3.49,6859,196,0.17,54.50%,584,11,391,0,0,263,73,40,0,0
16,28/2/2024,2,6,125,14,140,69,56,53,104,109,148,88,123,87,491,3,7,8,218,5.8,306,43,1.14,14766,392,0.29,61%,-226,-3,-427,-1,0,0,266,30,0,150,444,2,10,9,207,5.5,318,49,1.3,12519,333,0.29,61%,-1344,2,178,1,1,827,343,25,600,0,841,8,4,9,322,8.6,486,47,1.25,55875,1484,0.45,94%,-430,5,69,1,0,6914,185,33,1650,250,1225,4,7,6,342,9.1,413,38,1.01,22780,605,0.27,56%,-1439,-10,-855,-1,0,696,232,24,350,100,432,1,9,15,49,1.3,246,138,3.67,5091,135,0.42,89%,-161,-9,-319,0,0,0,250,35,0,0,882,6,3,11,259,6.9,443,55,1.46,25206,669,0.45,45.90%,226,3,427,1,0,3636,142,26,50,300,862,9,1,23,260,6.9,471,57,1.51,35171,934,0.85,86.50%,1344,-2,-178,-1,0,4056,33,37,200,300,620,4,6,19,251,6.7,397,37,0.98,24416,648,0.61,62.20%,430,-5,-69,-1,0,10271,207,32,100,300,433,17,5,8,353,9.4,547,46,1.22,46169,1226,0.66,67.60%,1439,10,855,1,0,4681,206,28,0,1700,1066,1,3,23,60,1.6,298,146,3.88,9083,241,0.64,64.90%,161,9,319,0,0,586,75,38,150,0
17,28/2/2024,2,6,125,14,1,148,88,54,87,140,69,94,142,104,491,5,4,3,218,7.8,417,19,0.68,20176,726,0.29,50%,-1282,-9,-708,-1,0,0,144,19,1000,50,444,5,11,8,126,4.5,357,36,1.3,15702,565,0.47,81%,-1888,-31,-1818,-2,0,0,229,27,650,150,841,1,8,8,221,8,348,22,0.79,15873,571,0.32,56%,-1096,1,-991,-1,0,4413,244,20,0,0,1225,5,5,8,222,8,412,46,1.66,19985,719,0.47,81%,-381,6,595,0,0,1215,98,20,200,50,432,0,8,10,36,1.3,241,94,3.38,5922,213,0.36,63%,-747,1,-658,-1,0,0,143,26,0,0,882,8,0,14,220,7.9,479,19,0.68,18170,654,0.79,61.10%,1282,9,708,1,0,5210,0,21,200,0,862,12,4,13,184,6.6,501,38,1.37,27262,981,0.9,69.40%,1888,31,1818,2,1,5091,139,29,0,1250,620,7,4,22,221,8,484,25,0.9,26014,936,1.04,80.60%,1096,-1,991,1,0,6588,127,25,0,100,272,6,3,16,199,7.2,449,29,1.04,28084,1011,0.79,61.10%,381,-6,-595,0,0,10221,95,21,50,500,1066,3,5,24,39,1.4,341,87,3.13,6359,229,0.97,75.00%,747,-1,658,1,0,3338,86,32,0,0
18,27/2/2024,1,171,144,14,50,16,120,113,87,106,112,12,154,101,1156,1,2,7,336,10.3,428,44,1.34,24316,743,0.24,50%,140,11,251,1,0,11290,47,29,0,0,857,9,2,6,254,7.8,440,44,1.34,32735,1000,0.46,94%,705,14,701,0,0,2550,53,22,0,200,680,1,1,9,306,9.3,424,46,1.41,12765,390,0.31,63%,1788,25,124,0,0,8268,45,24,0,150,188,2,1,11,71,2.2,342,118,3.6,20125,615,0.4,81%,13,-70,-472,0,0,5374,42,32,100,150,731,3,1,9,250,7.6,380,40,1.22,11313,346,0.37,75%,1522,89,2393,3,0,1944,12,31,0,0,560,1,3,4,239,7.3,326,33,1.01,17752,542,0.15,71.40%,-140,-11,-251,-1,0,2017,106,26,0,0,429,4,3,2,172,5.3,328,44,1.34,7349,225,0.18,85.70%,-705,-14,-701,0,0,2156,91,33,150,100,220,1,4,2,298,9.1,389,26,0.79,24973,763,0.09,42.90%,-1788,-25,-124,0,0,4066,82,23,150,0,1268,1,4,2,271,8.3,363,42,1.28,19604,599,0.09,42.90%,-13,70,472,0,0,0,68,33,200,0,527,0,2,5,41,1.3,235,155,4.74,4804,147,0.15,71.40%,-1522,-89,-2393,-3,0,1011,20,37,0,0
19,27/2/2024,1,171,144,14,106,112,130,55,5,67,148,88,27,104,1156,4,1,9,269,9,473,61,2.03,14642,488,0.43,54%,1738,20,1297,1,0,9860,0,22,0,700,857,3,1,15,171,5.7,360,41,1.37,11760,392,0.6,75%,-551,-8,-142,0,0,1217,37,24,0,0,680,3,4,19,231,7.7,406,45,1.5,33145,1104,0.73,92%,-24,0,510,1,0,2905,64,25,50,250,188,10,2,9,271,9,522,50,1.67,15169,505,0.63,79%,2130,29,1201,1,0,9194,73,25,50,550,731,4,5,18,29,1,312,100,3.33,7987,266,0.73,92%,522,-3,606,1,0,784,59,35,0,300,560,0,5,3,215,7.2,293,19,0.63,11936,398,0.1,25.00%,-1738,-20,-1297,-1,0,0,163,21,0,0,429,6,5,5,159,5.3,360,33,1.1,9759,325,0.37,91.70%,551,8,142,0,0,469,146,24,400,50,220,4,4,6,197,6.6,353,25,0.83,20391,679,0.33,83.30%,24,0,-510,-1,0,1726,104,22,500,50,1268,2,3,3,246,8.2,386,37,1.23,10714,357,0.17,41.70%,-2130,-29,-1201,-1,0,912,33,29,200,0,527,0,7,9,46,1.5,241,110,3.66,3587,120,0.3,75.00%,-522,3,-606,-1,0,349,157,37,0,0
20,27/2/2024,2,6,72,14,109,156,12,113,78,138,104,94,123,87,491,5,4,5,278,8.2,457,22,0.65,24936,740,0.3,77%,2370,74,2914,2,0,3994,137,22,1350,500,444,3,5,7,178,5.3,323,46,1.36,11311,335,0.3,77%,331,-28,-618,0,0,4269,170,26,0,300,841,2,5,4,295,8.7,367,42,1.25,16398,486,0.18,46%,-707,-22,-641,-1,0,0,117,28,0,100,1225,3,4,8,85,2.5,348,147,4.36,9827,291,0.33,85%,-302,-100,-2888,-3,0,3449,93,32,150,150,432,0,4,6,191,5.7,286,41,1.22,5632,167,0.18,46%,547,75,2204,2,0,181,124,27,0,0,1384,4,5,9,291,8.6,466,38,1.13,15756,467,0.39,59.10%,-2370,-74,-2914,-2,0,8930,44,33,300,0,582,1,3,16,216,6.4,331,52,1.54,6765,201,0.5,77.30%,-331,28,618,0,0,1216,106,28,0,0,1401,2,2,18,315,9.3,433,35,1.04,30416,902,0.59,90.90%,707,22,641,1,0,5459,49,31,200,650,1113,14,3,2,311,9.2,527,23,0.68,43954,1304,0.47,72.70%,302,100,2888,3,0,7326,144,27,400,850,23,1,0,16,24,0.7,265,103,3.05,7295,216,0.5,77.30%,-547,-75,-2204,-2,0,2496,0,36,150,0
21,27/2/2024,2,6,72,14,109,97,130,113,87,138,69,44,142,104,491,2,4,7,227,8,378,30,1.05,15017,528,0.32,75%,1581,49,1506,2,0,4899,110,29,0,100,444,4,4,4,154,5.4,317,22,0.77,6602,232,0.28,67%,-1100,-24,-1309,-1,0,0,81,25,0,0,841,3,6,6,216,7.6,389,31,1.09,15386,540,0.32,75%,-75,-16,-610,0,0,4160,170,30,100,50,1225,2,4,5,79,2.8,302,110,3.86,7048,248,0.25,58%,-1453,-103,-2788,-2,0,1349,73,30,0,150,432,1,7,7,144,5.1,273,31,1.09,5861,206,0.28,67%,646,69,2109,2,0,371,166,26,0,0,1384,6,5,4,219,7.7,479,23,0.81,12837,451,0.35,40.00%,-1581,-49,-1506,-2,0,10762,109,25,50,100,582,2,3,18,177,6.2,388,40,1.41,8725,306,0.7,80.00%,1100,24,1309,1,0,410,52,27,0,0,1401,6,0,11,226,7.9,455,38,1.33,21278,747,0.6,68.00%,75,16,610,0,0,3422,0,22,250,0,1113,11,0,10,272,9.6,538,26,0.91,23873,839,0.74,84.00%,1453,103,2788,2,0,6504,0,24,0,0,23,0,4,20,31,1.1,284,82,2.88,5320,187,0.7,80.00%,-646,-69,-2109,-2,0,945,91,37,0,0
22,22/2/2024,2,72,125,14,109,49,12,73,80,138,69,94,27,104,882,2,9,4,155,6.3,327,12,0.48,11949,482,0.24,100%,-2265,-25,-2513,-2,0,0,235,15,600,0,862,2,4,4,141,5.7,323,33,1.33,7455,301,0.24,100%,-217,8,138,0,0,0,133,28,300,0,620,1,5,3,184,7.4,319,36,1.45,11768,475,0.16,67%,-498,-5,-336,0,0,1849,161,22,0,0,433,1,7,0,173,7,344,15,0.6,11985,483,0.04,17%,-2569,-23,-1390,-1,0,0,139,26,700,0,1066,0,4,3,33,1.3,230,72,2.9,2982,120,0.12,50%,-149,0,-783,-1,0,150,45,25,0,0,1384,11,3,3,203,8.2,539,27,1.09,20496,826,0.56,48.30%,2265,25,2513,2,0,11662,108,25,0,900,582,6,1,8,141,5.7,397,44,1.77,15994,645,0.56,48.30%,217,-8,-138,0,0,1738,33,23,0,300,1401,4,0,10,214,8.6,453,28,1.13,18457,744,0.56,48.30%,498,5,336,0,0,5815,0,24,0,0,1113,7,1,6,204,8.2,546,33,1.33,15270,616,0.52,44.80%,2569,23,1390,1,0,9332,33,24,0,400,23,1,1,16,31,1.3,295,80,3.23,6994,282,0.69,58.60%,149,0,783,1,0,333,26,30,0,0
23,22/2/2024,2,72,125,14,109,78,158,123,104,1,69,39,113,87,882,3,5,2,265,7,343,53,1.41,20957,556,0.13,39%,431,-9,40,0,0,2928,186,27,50,150,862,3,4,6,187,5,308,77,2.04,11777,312,0.24,69%,529,-10,-590,-1,0,2111,184,33,0,300,620,3,5,2,267,7.1,354,32,0.85,23612,626,0.13,39%,544,18,653,1,0,642,234,28,550,50,433,4,4,4,363,9.6,425,39,1.03,34014,902,0.21,62%,-280,2,-114,0,0,759,108,25,700,300,1066,0,5,10,48,1.3,244,150,3.98,4277,113,0.27,77%,3,0,898,1,0,199,127,38,0,0,1384,6,4,11,312,8.3,429,40,1.06,20725,549,0.45,73.90%,-431,9,-40,0,0,5430,132,30,400,600,582,4,3,12,236,6.3,371,46,1.22,14726,390,0.42,69.60%,-529,10,590,1,0,1706,20,34,300,400,1401,3,4,11,261,6.9,346,57,1.51,17904,475,0.37,60.90%,-544,-18,-653,-1,0,1584,61,37,50,300,1113,9,0,13,324,8.6,457,36,0.95,38246,1014,0.58,95.70%,280,-2,114,0,0,10200,0,28,50,0,23,1,2,16,42,1.1,246,135,3.58,7697,204,0.45,73.90%,-3,0,-898,-1,0,1282,29,41,0,0
24,22/2/2024,1,6,119,14,67,148,56,123,87,38,69,44,142,104,491,1,1,2,274,8,376,38,1.11,13406,390,0.09,20%,255,2,976,1,0,6079,50,25,0,200,444,3,5,7,217,6.3,349,45,1.31,13941,406,0.29,67%,121,5,-422,-1,0,2065,173,23,0,300,841,7,3,8,274,8,445,50,1.46,34507,1005,0.44,100%,565,-5,-325,0,0,5332,84,29,950,600,1225,3,1,6,308,9,430,56,1.63,18740,546,0.26,60%,-992,0,36,1,0,5059,32,29,0,50,432,1,5,7,36,1,263,118,3.44,3299,96,0.23,53%,-399,-1,109,0,0,785,81,34,50,0,149,3,2,7,280,8.2,386,38,1.11,20965,611,0.29,66.70%,-255,-2,-976,-1,0,1245,82,22,750,100,1118,1,4,9,162,4.7,281,54,1.57,8002,233,0.29,66.70%,-121,-5,422,1,0,1965,164,30,150,0,635,3,4,5,260,7.6,341,53,1.54,22280,649,0.23,53.30%,-565,5,325,0,0,889,134,24,50,200,670,7,3,3,277,8.1,408,42,1.22,20104,586,0.29,66.70%,992,0,-36,-1,0,2176,139,32,200,700,1338,1,2,12,35,1,242,125,3.64,5139,150,0.38,86.70%,399,1,-109,0,0,0,82,36,0,0
25,22/2/2024,2,119,6,14,140,147,130,142,87,82,156,138,54,104,149,3,5,1,203,8.1,359,26,1.04,15973,636,0.16,36%,312,-1,829,1,0,449,206,23,150,50,1118,1,7,5,137,5.5,302,28,1.12,6244,249,0.24,55%,-786,6,-1009,-1,0,0,196,24,0,0,635,3,5,2,208,8.3,355,24,0.96,18745,747,0.2,46%,-757,-13,-626,0,0,237,122,20,0,300,670,4,5,4,203,8.1,429,34,1.35,15137,603,0.32,73%,-228,2,-351,-1,0,895,119,21,950,0,1338,0,5,5,32,1.3,227,69,2.75,3484,139,0.2,46%,-150,5,-332,0,0,0,114,26,0,0,491,7,2,3,212,8.4,465,27,1.08,21534,858,0.4,37.00%,-312,1,-829,-1,0,2932,56,20,0,0,444,7,4,11,130,5.2,431,41,1.63,16245,647,0.72,66.70%,786,-6,1009,1,0,7849,62,27,350,150,841,3,2,18,224,8.9,510,36,1.43,13414,534,0.84,77.80%,757,13,626,0,0,9637,41,27,0,250,1225,8,1,9,234,9.3,509,38,1.51,18169,724,0.68,63.00%,228,-2,351,1,0,5010,42,26,0,700,432,2,2,19,30,1.2,311,88,3.51,3578,143,0.84,77.80%,150,-5,332,0,0,814,18,28,0,0
26,21/2/2024,2,6,171,14,50,14,130,123,104,3,112,158,142,87,491,0,7,2,181,6.6,303,17,0.62,11570,419,0.07,22%,-570,-16,-127,0,0,0,218,19,0,0,444,3,7,5,167,6,373,36,1.3,9683,351,0.29,89%,-650,-12,-383,0,0,3868,151,24,50,0,841,1,6,4,248,9,378,30,1.09,21882,792,0.18,56%,-1082,-17,-1011,-1,0,1542,187,26,0,0,1225,5,3,2,233,8.4,450,30,1.09,19642,711,0.25,78%,-1433,-34,-68,0,0,162,51,20,1700,50,432,0,7,7,31,1.1,232,89,3.22,2957,107,0.25,78%,-1106,-4,-755,-1,0,161,92,29,0,0,1156,3,3,5,202,7.3,390,21,0.76,21684,785,0.29,26.70%,570,16,127,0,0,5624,116,24,0,200,857,7,0,12,156,5.6,426,29,1.05,12818,464,0.69,63.30%,650,12,383,0,0,3481,0,25,0,0,680,7,1,11,274,9.9,519,43,1.56,25266,915,0.65,60.00%,1082,17,1011,1,0,5037,51,24,50,700,188,9,2,10,251,9.1,513,35,1.27,25841,936,0.69,63.30%,1433,34,68,0,0,9880,56,24,0,700,731,4,3,19,43,1.6,335,107,3.87,6870,249,0.83,76.70%,1106,4,755,1,0,1137,62,32,0,150
27,21/2/2024,1,171,6,14,50,156,44,19,10,1,104,138,142,113,1156,4,3,7,267,8.7,417,42,1.37,26713,873,0.36,42%,1046,20,290,0,0,3107,120,24,0,650,857,4,3,10,173,5.7,370,37,1.21,13782,451,0.46,54%,-78,12,-89,0,0,5107,104,24,0,300,680,6,3,15,244,8,486,35,1.14,26774,875,0.69,81%,201,21,849,1,0,7815,120,25,0,500,188,7,2,9,264,8.6,493,52,1.7,21556,705,0.52,62%,1011,28,812,1,0,8130,72,26,0,250,731,5,0,18,68,2.2,362,138,4.51,19772,646,0.75,89%,375,12,163,0,0,4404,0,30,0,0,491,2,6,3,229,7.5,335,22,0.72,17158,561,0.16,45.50%,-1046,-20,-290,0,0,0,255,24,50,0,444,1,5,10,140,4.6,281,42,1.37,7655,250,0.36,100.00%,78,-12,89,0,0,251,165,21,100,0,841,4,6,6,213,7,408,30,0.98,22619,740,0.33,90.90%,-201,-21,-849,-1,0,1830,257,31,800,0,1225,3,5,4,220,7.2,356,38,1.24,21479,702,0.23,63.60%,-1011,-28,-812,-1,0,1615,146,27,750,0,432,1,4,7,53,1.7,254,77,2.52,7732,253,0.26,72.70%,-375,-12,-163,0,0,1159,118,31,0,0
28,21/2/2024,1,215,119,14,38,97,130,142,104,158,112,12,123,70,19,3,0,7,297,9.5,457,26,0.83,13233,422,0.32,59%,1552,3,1554,2,0,10545,0,19,0,0,756,3,0,9,139,4.4,311,48,1.53,6315,202,0.38,71%,339,3,521,1,0,2242,0,31,0,0,1491,1,0,13,335,10.7,468,59,1.88,18515,591,0.45,82%,875,10,854,1,0,7024,0,27,0,0,9,9,0,5,320,10.2,472,52,1.66,18282,583,0.45,82%,739,36,1549,2,0,7479,0,24,0,0,977,1,1,11,40,1.3,256,121,3.86,3667,117,0.38,71%,223,-2,-112,0,0,1208,35,33,0,0,149,0,7,0,254,8.1,316,30,0.96,13831,441,0,0.00%,-1552,-3,-1554,-2,0,227,226,19,0,0,1118,0,5,1,130,4.1,250,42,1.34,2715,87,0.03,100.00%,-339,-3,-521,-1,0,2308,118,30,0,0,635,0,1,1,332,10.6,398,40,1.28,5626,180,0.03,100.00%,-875,-10,-854,-1,0,3362,0,25,0,0,670,1,1,0,292,9.3,361,34,1.09,18051,576,0.03,100.00%,-739,-36,-1549,-2,0,0,0,25,0,0,1338,0,3,1,39,1.2,209,105,3.35,2338,75,0.03,100.00%,-223,2,112,0,0,0,89,29,0,0
